web-scraper-order,web-scraper-start-url,cookies,cookies-href,category,category-href,recipe_link,recipe_link-href,ingredients,prep_time,cook_time,total_time,instructions,nutrition_facts,name,num_reviews,category_name,5star,4star,3star,2star,1star
"1520399377-495","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","International Cookies","https://www.allrecipes.com/recipes/845/desserts/cookies/international-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/11341/scottish-shortbread-iv/?internalSource=hub%20recipe&referringId=845&referringContentType=recipe%20hub","[{""ingredients"":""2 cups butter""},{""ingredients"":""1 cup packed brown sugar""},{""ingredients"":""4 1/2 cups all-purpose flour""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat oven to 325 degrees F (165 degrees C).""},{""instructions"":""Cream butter and brown sugar. Add 3 to 3 3/4 cups flour. Mix well.""},{""instructions"":""Sprinkle board with the remaining flour. Knead for 5 minutes, adding enough flour to make a soft dough. Roll to 1/2 inch thickness. Cut into 3x1 inch strips. Prick with fork and place on ungreased baking sheets.""},{""instructions"":""Bake at 325 degrees F (165 degrees C) for 20 to 25 minutes.""}]","Per Serving: 
            256 calories;
                    15.6 g fat;
                    26.9 g carbohydrates;
                    2.6 g protein;
                    41 mg cholesterol;
                    112 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Scottish Shortbread IV","579","International Cookie Recipes","426","95","31","12","15"
"1520398160-21","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Cookie Icing and Frosting","https://www.allrecipes.com/recipes/842/desserts/frostings-and-icings/cookie-frosting/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/11082/sugar-cookie-glaze/?internalSource=staff%20pick&referringId=842&referringContentType=recipe%20hub","[{""ingredients"":""1 cup confectioners' sugar""},{""ingredients"":""1 tablespoon light corn syrup""},{""ingredients"":""2 tablespoons water""},{""ingredients"":""10 drops food coloring""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Stir confectioners' sugar, corn syrup, and water together.  Stir in food coloring if desired. This glaze must be stirred each time you use it.  If it is not stirred before each use it will dry with a mottled look instead of a solid color.""}]","Per Serving: 
            22 calories;
                    0 g fat;
                    5.6 g carbohydrates;
                    0 g protein;
                    0 mg cholesterol;
                    < 1 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Sugar Cookie Glaze","405","Cookie Icing and Frosting Recipes","254","94","31","11","15"
"1520398960-336","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Nut Cookies","https://www.allrecipes.com/recipes/850/desserts/cookies/nut-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10348/tiny-pecan-tarts/?internalSource=hub%20recipe&referringId=850&referringContentType=recipe%20hub","[{""ingredients"":""1 cup butter""},{""ingredients"":""6 ounces cream cheese, softened""},{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""4 eggs""},{""ingredients"":""3 cups packed brown sugar""},{""ingredients"":""4 tablespoons melted butter""},{""ingredients"":""1 pinch salt""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1 cup chopped pecans""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""To Make Pastry:  Cream butter or margarine and cream cheese. Add flour and mix well. Make into 48 balls; place one ball in each cup of a mini tart pan. Use your fingers or a tart tamper to press out into a tart shell.""},{""instructions"":""To Make Filling:   Break the eggs, but do not beat. Add sugar, melted butter, salt, vanilla and pecans. Mix well. Fill the tart shells. Bake at 350 degrees F (180 degrees C) for about 30 minutes or until delicately browned.""}]","Per Serving: 
            296 calories;
                    16.3 g fat;
                    35.8 g carbohydrates;
                    3.2 g protein;
                    64 mg cholesterol;
                    109 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Tiny Pecan Tarts","158","Nut Cookie Recipes","119","19","4","5","11"
"1520399453-527","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Gingersnaps","https://www.allrecipes.com/recipes/17794/desserts/cookies/gingersnaps/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/25068/grandmas-gingersnaps/?internalSource=hub%20recipe&referringId=17794&referringContentType=recipe%20hub","[{""ingredients"":""3/4 cup margarine""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1 egg""},{""ingredients"":""1/4 cup molasses""},{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""1 tablespoon ground ginger""},{""ingredients"":""1 teaspoon ground cinnamon""},{""ingredients"":""2 teaspoons baking soda""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1/2 cup white sugar for decoration""},{""ingredients"":""Add all ingredients to list""}]","15 m","10 m","30 m","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C).""},{""instructions"":""In a medium bowl, cream together the margarine and 1 cup white sugar until smooth. Beat in the egg and molasses until well blended. Combine the flour, ginger, cinnamon, baking soda and salt; stir into the molasses mixture to form a dough. Roll dough into 1 inch balls and roll the balls in the remaining sugar. Place cookies 2 inches apart onto ungreased cookie sheets.""},{""instructions"":""Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely.""}]","Per Serving: 
            100 calories;
                    4 g fat;
                    15.5 g carbohydrates;
                    1 g protein;
                    5 mg cholesterol;
                    149 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Grandma's Gingersnaps","417","Gingersnap Recipes","331","53","22","6","5"
"1520398782-262","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Pumpkin Cookies","https://www.allrecipes.com/recipes/968/desserts/cookies/pumpkin-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10033/iced-pumpkin-cookies/?internalSource=staff%20pick&referringId=968&referringContentType=recipe%20hub","[{""ingredients"":""2 1/2 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking powder""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""2 teaspoons ground cinnamon""},{""ingredients"":""1/2 teaspoon ground nutmeg""},{""ingredients"":""1/2 teaspoon ground cloves""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1/2 cup butter, softened""},{""ingredients"":""1 1/2 cups white sugar""},{""ingredients"":""1 cup canned pumpkin puree""},{""ingredients"":""1 egg""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""2 cups confectioners' sugar""},{""ingredients"":""3 tablespoons milk""},{""ingredients"":""1 tablespoon melted butter""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""Add all ingredients to list""}]","20 m","20 m","1 h 20 m","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). Combine flour, baking powder, baking soda, cinnamon, nutmeg, ground cloves, and salt; set aside.""},{""instructions"":""In a medium bowl, cream together the 1/2 cup of  butter and white sugar. Add pumpkin, egg, and 1 teaspoon vanilla to butter mixture, and beat until creamy. Mix in dry ingredients. Drop on cookie sheet by tablespoonfuls; flatten slightly.""},{""instructions"":""Bake for 15 to 20 minutes in the preheated oven. Cool cookies, then drizzle glaze with fork.""},{""instructions"":""To Make Glaze: Combine confectioners' sugar, milk, 1 tablespoon melted butter, and 1 teaspoon vanilla. Add milk as needed, to achieve drizzling consistency.""}]","","Iced Pumpkin Cookies","4209","Pumpkin Cookie Recipes","3319","670","162","34","24"
"1520398660-212","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Refrigerator Cookies","https://www.allrecipes.com/recipes/854/desserts/cookies/refrigerator-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/9915/busias-cutout-cookies/?internalSource=hub%20recipe&referringId=854&referringContentType=recipe%20hub","[{""ingredients"":""2/3 cup butter""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1/4 cup milk""},{""ingredients"":""2 eggs""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""4 cups all-purpose flour""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Cream butter and sugar. Beat in eggs.""},{""instructions"":""Dissolve the baking soda in the milk, then add to mixture. Add the vanilla and mix well""},{""instructions"":""Place salt in with flour and slowly stir into mixture.  The dough should not be too sticky and should pull away from the sides of the bowl easily. If the dough is sticky, add a little more flour.""},{""instructions"":""Form the dough into a roll about a foot long and 2-3 inches in diameter.  Roll up in wax paper and put in the refrigerator for 1 hour.""},{""instructions"":""Remove from refrigerator and let dough come to room temperature. Roll out dough a chunk at a time (one dough log makes about 4 chunks).""},{""instructions"":""Preheat oven to 350 degrees F (180 degrees C).""},{""instructions"":""Cut your cookies and decorate or bake plain for 8-10 minutes.  Enjoy!""}]","Per Serving: 
            161 calories;
                    5.8 g fat;
                    24.4 g carbohydrates;
                    2.8 g protein;
                    29 mg cholesterol;
                    120 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Busia's Cutout Cookies","50","Refrigerator Cookie Recipes","35","9","2","3","1"
"1520398808-272","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Peanut Butter Cookies","https://www.allrecipes.com/recipes/852/desserts/cookies/peanut-butter-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/25052/favorite-peanut-butter-cookies/?internalSource=hub%20recipe&referringId=852&referringContentType=recipe%20hub","[{""ingredients"":""1 1/4 cups creamy peanut butter""},{""ingredients"":""1 cup margarine""},{""ingredients"":""3/4 cup white sugar""},{""ingredients"":""3/4 cup packed light brown sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""1/2 teaspoon vanilla extract""},{""ingredients"":""2 1/4 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking powder""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""Add all ingredients to list""}]","30 m","30 m","1 h","[{""instructions"":""Preheat the oven to 375 degrees F (190 degrees C).""},{""instructions"":""In a large bowl, cream together the peanut butter, margarine, brown sugar and white sugar. Beat in the eggs and vanilla. Combine the flour, baking powder and  baking soda; stir into the peanut butter mixture. Form dough into walnut sized balls and place them 2 inches apart onto ungreased cookie sheets. Dip a fork into flour and criss cross each cookie to flatten slightly.""},{""instructions"":""Bake for 12 to 15 minutes in the preheated oven, until just lightly browned. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely.""}]","Per Serving: 
            109 calories;
                    6.6 g fat;
                    11 g carbohydrates;
                    2.3 g protein;
                    7 mg cholesterol;
                    100 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Favorite Peanut Butter Cookies","497","Peanut Butter Cookie Recipes","319","108","41","13","16"
"1520398287-73","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Zucchini Cookies","https://www.allrecipes.com/recipes/16162/desserts/cookies/zucchini-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/9967/zucchini-nut-cookies/?internalSource=staff%20pick&referringId=16162&referringContentType=recipe%20hub","[{""ingredients"":""1/2 cup packed brown sugar""},{""ingredients"":""1/2 cup white sugar""},{""ingredients"":""1/2 cup shortening""},{""ingredients"":""1 egg""},{""ingredients"":""2 cups sifted all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1 teaspoon ground cinnamon""},{""ingredients"":""1/2 teaspoon ground nutmeg""},{""ingredients"":""1/2 teaspoon ground cloves""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""1 cup grated zucchini""},{""ingredients"":""1 cup raisins""},{""ingredients"":""1/2 cup chopped walnuts""},{""ingredients"":""Add all ingredients to list""}]","15 m","15 m","1 h","[{""instructions"":""Preheat oven to 325 degrees F (165 degrees C). Grease cookie sheets.""},{""instructions"":""Cream together shortening, brown sugar, and white sugar until smooth. Beat in egg. Combine the flour, baking soda, salt, cinnamon, nutmeg, and cloves; stir into the creamed mixture. Mix in zucchini, raisins, and walnuts. Drop by rounded tablespoons onto the prepared baking sheets.""},{""instructions"":""Bake 15 minutes in the preheated oven, or until lightly browned. Cool on the cookie sheets for a few minutes before removing to wire racks to cool completely.""}]","Per Serving: 
            99 calories;
                    4.2 g fat;
                    14.7 g carbohydrates;
                    1.3 g protein;
                    5 mg cholesterol;
                    55 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Zucchini Nut Cookies","44","Zucchini Cookie Recipes","29","12","1","0","2"
"1520398268-65","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Zucchini Cookies","https://www.allrecipes.com/recipes/16162/desserts/cookies/zucchini-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/218494/grandmas-chocolate-zucchini-brownies/?internalSource=hub%20recipe&referringId=16162&referringContentType=recipe%20hub","[{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""2 tablespoons unsweetened cocoa powder""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1/2 cup butter""},{""ingredients"":""1 1/2 cups white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""2 1/2 cups shredded zucchini""},{""ingredients"":""2 tablespoons white sugar""},{""ingredients"":""1 cup chopped walnuts (optional)""},{""ingredients"":""1 cup chocolate chips""},{""ingredients"":""Add all ingredients to list""}]","30 m","25 m","55 m","[{""instructions"":""Preheat an oven to 350 degrees F (175 degrees C). Grease a jelly roll pan.""},{""instructions"":""Sift flour, cocoa powder, baking soda, and salt together in a bowl.""},{""instructions"":""Beat the butter and 1 1/2 cups sugar with an electric mixer in a large bowl until smooth. Beat the first egg into the butter until completely blended, then beat in the vanilla extract with the last egg. Mix in the flour mixture until just incorporated. Fold in the zucchini; mixing just enough to evenly combine. Pour mixture into prepared pan. Sprinkle the remaining 2 tablespoons sugar, chocolate chips, and walnuts on top.""},{""instructions"":""Bake in the preheated oven until the top is dry and the edges have started to pull away from the sides of the pan, 25 to 30 minutes.""}]","","Grandma's Chocolate Zucchini Brownies","62","Zucchini Cookie Recipes","39","17","3","1","2"
"1520399168-409","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Molasses Cookies","https://www.allrecipes.com/recipes/17793/desserts/cookies/molasses-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10554/molasses-sugar-cookies-i/?internalSource=hub%20recipe&referringId=17793&referringContentType=recipe%20hub","[{""ingredients"":""3/4 cup butter flavored shortening""},{""ingredients"":""1 cup packed brown sugar""},{""ingredients"":""1 egg""},{""ingredients"":""1/4 cup molasses""},{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""2 teaspoons baking soda""},{""ingredients"":""1 teaspoon ground cinnamon""},{""ingredients"":""1 teaspoon ground cloves""},{""ingredients"":""1 teaspoon ground ginger""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Cream together until light and fluffy  butter flavored shortening and brown sugar.  Add egg and molasses and beat well. Sift together flour, salt,  baking soda,  cinnamon, ground cloves and ginger.  Add to creamed mixture and mix well.""},{""instructions"":""Chill at least 1 hour or overnight.""},{""instructions"":""Preheat oven to 375 degrees F (190 degrees C).""},{""instructions"":""Roll into 1-inch balls, roll in sugar.  Place balls 2 inches apart on ungreased cookie sheet.  Bake for  10 minutes.  Cool slightly before removing from pan.""}]","Per Serving: 
            116 calories;
                    5.6 g fat;
                    15.8 g carbohydrates;
                    1.1 g protein;
                    6 mg cholesterol;
                    109 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Molasses Sugar Cookies I","77","Molasses Cookie Recipes","64","9","2","1","1"
"1520398545-166","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Snickerdoodles","https://www.allrecipes.com/recipes/16420/desserts/cookies/snickerdoodles/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/11080/whole-wheat-snickerdoodles-ii/?internalSource=hub%20recipe&referringId=16420&referringContentType=recipe%20hub","[{""ingredients"":""1 1/2 cups white sugar""},{""ingredients"":""1 cup butter, softened""},{""ingredients"":""1 egg""},{""ingredients"":""1 egg white""},{""ingredients"":""1 1/2 cups whole wheat flour""},{""ingredients"":""1 1/4 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""2 tablespoons white sugar""},{""ingredients"":""2 teaspoons ground cinnamon""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""In a mixing bowl, cream sugar and butter or margarine until fluffy.  Add egg and egg white; beat well.  Stir together flours, soda, and salt; beat into creamed mixture.""},{""instructions"":""In a small bowl, combine 2 tablespoons sugar and cinnamon.  Shape dough into walnut sized balls, and roll in cinnamon sugar.  Place 2 inches apart on ungreased baking sheets.""},{""instructions"":""Bake at 400 degrees F (205 degrees C) for 8 to 10 minutes.  Cookies will puff up and flatten as they bake.  Cool on wire racks.""}]","Per Serving: 
            139 calories;
                    6.5 g fat;
                    19.3 g carbohydrates;
                    1.8 g protein;
                    22 mg cholesterol;
                    110 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Whole Wheat Snickerdoodles II","99","Snickerdoodle Recipes","72","15","6","4","2"
"1520399541-553","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Thumbprint Cookies","https://www.allrecipes.com/recipes/14691/desserts/cookies/thumbprint-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/230170/white-chocolate-raspberry-thumbprint-cookies/?internalSource=staff%20pick&referringId=14691&referringContentType=recipe%20hub","[{""ingredients"":""1/2 cup butter, softened""},{""ingredients"":""1/2 cup vegetable shortening""},{""ingredients"":""1/2 cup white sugar""},{""ingredients"":""1/2 cup confectioners' sugar""},{""ingredients"":""1/2 teaspoon baking soda""},{""ingredients"":""1/2 teaspoon cream of tartar""},{""ingredients"":""1/8 teaspoon salt""},{""ingredients"":""1 egg""},{""ingredients"":""1/2 teaspoon vanilla extract""},{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""1/3 cup seedless raspberry jam""},{""ingredients"":""1 cup white chocolate chips""},{""ingredients"":""2 tablespoons red sugar sprinkles, or as desired""},{""ingredients"":""Add all ingredients to list""}]","15 m","10 m","3 h 30 m","[{""instructions"":""Beat butter and shortening together in a bowl with an electric mixer until smooth; add white sugar, confectioners' sugar, baking soda, cream of tartar, and salt. Beat until just combined. Stir in egg and vanilla extract. Gradually mix in flour until just combined. Cover and refrigerate dough for 3 hours.""},{""instructions"":""Preheat oven to 375 degrees F (190 degrees C).""},{""instructions"":""Roll the dough into 3/4-inch balls and arrange on an ungreased baking sheet. Press your thumb or end of wooden spoon into the center of each dough ball making an indentation. Spoon 1/4 teaspoon jam into each thumbprint.""},{""instructions"":""Bake in the preheated oven until edges of cookies become lightly browned, 8 to 10 minutes. Cool on a wire rack for 5 minutes.""},{""instructions"":""Place white chocolate chips in a microwave-safe bowl; cook in microwave in 10-second intervals, stirring after each interval, until chips are melted. Spoon melted white chocolate into a disposable decorating or plastic bag. Snip off one small corner of bag; drizzle white chocolate over cookies. Sprinkle with red sugar.""}]","Per Serving: 
            197 calories;
                    11.1 g fat;
                    23.1 g carbohydrates;
                    1.9 g protein;
                    20 mg cholesterol;
                    77 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","White Chocolate Raspberry Thumbprint Cookies","24","Thumbprint Cookie Recipes","19","4","0","1","0"
"1520399455-528","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Gingersnaps","https://www.allrecipes.com/recipes/17794/desserts/cookies/gingersnaps/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/5486/grandmas-gingersnap-cookies/?internalSource=hub%20recipe&referringId=17794&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Gingersnap Recipes","","","","",""
"1520398396-105","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sugar Cookies","https://www.allrecipes.com/recipes/859/desserts/cookies/sugar-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/9440/sugar-cookies-with-buttercream-frosting/?internalSource=hub%20recipe&referringId=859&referringContentType=recipe%20hub","[{""ingredients"":""1 cup butter""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""1/2 teaspoon vanilla extract""},{""ingredients"":""3 1/4 cups all-purpose flour""},{""ingredients"":""1/2 teaspoon baking powder""},{""ingredients"":""1/2 teaspoon baking soda""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1/2 cup shortening""},{""ingredients"":""1 pound confectioners' sugar""},{""ingredients"":""5 tablespoons water""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""1/2 teaspoon vanilla extract""},{""ingredients"":""1/4 teaspoon butter flavored extract""},{""ingredients"":""Add all ingredients to list""}]","15 m","5 m","2 h 20 m","[{""instructions"":""In a large bowl, mix together butter, sugar, eggs, and vanilla with an electric mixer until light and fluffy.  Combine the flour, baking powder, baking soda, and salt; gradually stir  flour mixture into butter mixture until well blended using a sturdy spoon. Chill dough for 2 hours.""},{""instructions"":""Preheat the oven to 400 degrees F (200 degrees C). On a lightly floured surface, roll out the dough to 1/4 inch thickness. Cut into desired shapes using cookie cutters. Place cookies 2 inches apart onto ungreased cookie sheets.""},{""instructions"":""Bake for 4 to 6 minutes in the preheated oven. Remove cookies from pan and cool on wire racks.""},{""instructions"":""Using an electric mixer, beat shortening, confectioners sugar, water, salt, vanilla extract, and butter flavoring until fluffy. Frost cookies after they have cooled completely.""}]","Per Serving: 
            112 calories;
                    5 g fat;
                    16.1 g carbohydrates;
                    0.9 g protein;
                    14 mg cholesterol;
                    68 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Sugar Cookies with Buttercream Frosting","289","Sugar Cookie Recipes","213","46","17","6","7"
"1520398503-149","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Spice Cookies","https://www.allrecipes.com/recipes/857/desserts/cookies/spice-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/1026/big-soft-ginger-cookies/?internalSource=hub%20recipe&referringId=857&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Spice Cookie Recipes","","","","",""
"1520398701-229","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Refrigerator Cookies","https://www.allrecipes.com/recipes/854/desserts/cookies/refrigerator-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10011/butter-cookies-ii/?internalSource=hub%20recipe&referringId=854&referringContentType=recipe%20hub","[{""ingredients"":""1 cup butter""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1 egg""},{""ingredients"":""2 2/3 cups all-purpose flour""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""2 teaspoons vanilla extract""},{""ingredients"":""Add all ingredients to list""}]","15 m","10 m","1 h 40 m","[{""instructions"":""In a large bowl, cream together the butter and white sugar until light and fluffy. Beat in the egg, then stir in the vanilla. Combine the flour and salt; stir into the sugar mixture. Cover dough, and chill for at least one hour. Chill cookie sheets.""},{""instructions"":""Preheat oven to 400 degrees F (200 degrees C). Press dough out onto ungreased, chilled cookie sheets.""},{""instructions"":""Bake for 8 to 10 minutes in the preheated oven, or until lightly golden at the edges. Remove from cookie sheets to cool on wire racks.""}]","","Butter Cookies II","229","Refrigerator Cookie Recipes","123","62","18","14","12"
